User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
SectsShop,334,6.236865342891441e-05,0.0,0.004048030403748214,0.0,0.0,0.0,0.0,0.024412779474353184,1
JenanJamal,96,0.0,0.0,-0.0010476261688067401,0.0,0.0003299546041233709,0.0,0.000146378169778932,0.018403039058552853,1
AudiKhalid,84,-0.0016024514394654954,0.0011065575700662626,0.0072998823380074655,0.0,-0.000433922822039671,0.005331156835057075,0.0,0.016651400617234354,1
m0onlightnoona,80,4.8367622421505856e-06,0.0032020490067190925,0.0011347888582864975,0.0,0.0,0.0031997601516172963,0.0,0.051332650441403636,1
eviltofu,78,1.2845955427841424e-05,0.0,0.0007475432125850991,0.0,0.0,0.0,-6.78452200293144e-05,0.0370874020781338,1
nrxrzlhzn,75,1.5388559930968808e-05,0.0008304463924185312,0.007133440504188988,0.0,0.0,0.0,-0.00010730869003903744,0.04142963016106253,1
_kgyj,66,-0.004362775511880583,0.0013019464512507442,0.006950762061303762,0.0,0.0,0.003372892504733033,0.0,0.030323471164702742,1
caprichor,62,0.00010260442776908434,0.0021700707050874143,0.0028928168480190143,0.0,0.00022268513079117905,-0.0008121092184468894,0.0,0.0071830935236422465,1
officiallykumar,61,2.2809381421866765e-06,0.0,0.007374219878975039,0.0,3.488339497686784e-05,0.003876729466964097,0.0,0.02860044139107981,1
mochibaekx,61,0.0,0.00023654468818603641,0.0021644426750311654,0.0,0.00024289979415138087,0.0,-0.003182156777776173,0.026902385063825883,1
NLWMHB,60,0.00031174763056059985,0.0013216914647534625,0.0009187874672653744,0.0,0.0,0.0,0.0,0.04855981409694684,1
bakchormeeboy,57,0.0,0.0,0.0040787049901627416,0.0,0.0,9.668468358876532e-05,-1.2767466635448186e-05,0.03661526964631805,1
seanlimjkd,55,1.3850298707427045e-05,0.0,0.0021198932918749247,0.0,0.004055925964657125,0.0,0.0,0.04785457100855109,1
PGJobs,53,0.001141672414090285,0.0,0.0003110040333862716,0.0,0.0,0.0,0.0,0.02871274533792352,1
Admin_niksKtSg5,53,8.982439838717688e-05,0.0005916483741173781,0.002846400084549427,0.0,0.0004252131497859791,0.0001595210254201638,-0.00018453323510357118,0.0380741947297694,1
