User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
fabienpascal,3,0.0,2.3964104766494572e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
naufalsallehin,3,0.0,1.9262869194945128e-05,2.504210917785217e-06,0.0,0.0,0.0,0.0,0.0,11
Naseehaaaaa,2,0.0,1.293818211577636e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
miatuibags,2,0.0,1.9683391180959167e-05,3.0364193826393795e-06,0.0,0.0,0.0,0.0,0.0,11
tigermiyaw,2,0.0,1.1409865367147373e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
InteriorsNH,2,0.0,2.0446757414243128e-05,4.315248503740788e-06,0.0,0.0,0.0,0.0,0.0,11
aliffismyname_,2,0.0,2.2184664925072487e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
luxuryladies2,2,0.0,2.051243778011714e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
fajargibran,1,0.0,2.3279798764426277e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
hanieiris,1,0.0,1.6495995829672318e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
henmond,1,0.0,1.6611633661161513e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
hermosareva,1,0.0,1.4288833422049577e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
ivire1,1,0.0,1.4315773035978745e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
janicccccccccce,1,0.0,2.329211118573176e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
lolololHol,1,0.0,1.5462066914680447e-05,0.0,0.0,0.0,0.0,0.0,0.0,11
