User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
Junkgal,10,0.0,0.0,-5.8632858331174525e-05,0.0,0.0,0.0,0.0,0.0,14
OfficialariffiN,6,0.0,0.0,-6.947730212785744e-05,0.0,0.0,0.0,0.0,0.0,14
mintzebras,5,0.0,0.0,-6.777172898936974e-05,0.0,0.0,0.0,0.0,0.0,14
sherrng,5,0.0,0.0,-6.846993241819593e-05,0.0,0.0,0.0,0.0,0.0,14
Mohammad_Idrs,5,0.0,0.0,-5.670939964578159e-05,0.0,0.0,0.0,0.0,0.0,14
chuaenlai,4,0.0,0.0,-5.9738729194304246e-05,0.0,0.0,0.0,0.0,0.0,14
OlynnSaleh,4,5.632279794600956e-07,0.0,-6.36329694499282e-05,0.0,0.0,0.0,0.0,0.0,14
rahulk013,4,0.0,0.0,-7.010593783051256e-05,0.0,0.0,0.0,0.0,0.0,14
alicetkj_,4,0.0,0.0,-6.78937089325815e-05,0.0,0.0,0.0,0.0,0.0,14
KiwiInSG,3,0.0,0.0,-6.063146356403039e-05,0.0,0.0,0.0,0.0,0.0,14
__Kennyyy_,3,0.0,0.0,-7.065077905224465e-05,0.0,0.0,0.0,0.0,0.0,14
drgorespw,3,0.0,0.0,-6.133358334466358e-05,0.0,0.0,0.0,0.0,0.0,14
cremedelakremz,3,0.0,0.0,-6.241649398932675e-05,0.0,0.0,0.0,0.0,0.0,14
bernicecly,2,0.0,0.0,-5.69926546327728e-05,0.0,0.0,0.0,0.0,0.0,14
iamyeahps,2,0.0,0.0,-7.0669801136558e-05,0.0,0.0,0.0,0.0,0.0,14
