User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
AfiqahE,6,0.0,0.0,-4.063855610885089e-05,0.0,0.0,0.0,0.0,0.0,15
rainierrainiest,6,0.0,0.0,-3.969888401136792e-05,0.0,0.0,0.0,0.0,0.0,15
wee_serene,5,0.0,0.0,-3.412493118691623e-05,0.0,0.0,0.0,0.0,0.0,15
icefoxnix,5,2.676104605222446e-07,0.0,-3.033870185213368e-05,0.0,0.0,0.0,0.0,0.0,15
mhertenberger,4,0.0,0.0,-3.8548510977016095e-05,0.0,0.0,0.0,0.0,0.0,15
ChangggWennn,4,0.0,0.0,-3.333754782214459e-05,0.0,0.0,0.0,0.0,0.0,15
geddiejdk,4,0.0,0.0,-4.091811463450465e-05,0.0,0.0,0.0,0.0,0.0,15
Nepareizais,3,0.0,0.0,-3.153702110833064e-05,0.0,0.0,0.0,0.0,0.0,15
SdMitsy,3,0.0,0.0,-2.9328878863959216e-05,0.0,0.0,0.0,0.0,0.0,15
SeaweeeeeeeeeeD,3,0.0,0.0,-3.5881228494906885e-05,0.0,0.0,0.0,0.0,0.0,15
jcmarquez25,3,0.0,0.0,-4.175877540319843e-05,0.0,0.0,0.0,0.0,0.0,15
feliciayeocl,3,0.0,0.0,-2.5627874591133436e-05,0.0,0.0,0.0,0.0,0.0,15
Jelsonizer,3,0.0,0.0,-2.594507588000761e-05,0.0,0.0,0.0,0.0,0.0,15
w_nnii,3,0.0,0.0,-2.7063806410094298e-05,0.0,0.0,0.0,0.0,0.0,15
ahchiamm,3,0.0,0.0,-3.8741169256576596e-05,0.0,0.0,0.0,0.0,0.0,15
