User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
AltsBryan,11,0.0,0.0,-2.636421780214693e-05,0.0,0.0,0.00012906162644502718,0.0,0.0,4
aziegavs,2,0.0,0.0,0.0,0.0,0.0,0.00022011067691307085,0.0,0.0,4
GBTwitz,2,0.0,0.0,2.44862326988118e-06,0.0,0.0,0.00019004637559937946,0.0,0.0,4
madhumacintosh,2,0.0,0.0,7.286817142159282e-06,0.0,0.0,0.00021667685687387677,0.0,0.0,4
LutfiLatiff,2,0.0,0.0,1.4409258141143504e-06,0.0,0.0,0.00011950853177337705,0.0,0.0,4
LailahTan,2,0.0,0.0,1.3425726940217771e-06,0.0,0.0,0.00021853367068779632,0.0,0.0,4
iamblesberou,2,0.0,0.0,0.0,0.0,0.0,0.0002439826804689709,0.0,0.0,4
nnadster,2,0.0,0.0,0.0,0.0,0.0,0.00020522021612470138,0.0,0.0,4
HaagenDars,2,0.0,0.0,1.202408467415455e-05,0.0,0.0,0.00027363815815388987,0.0,0.0,4
MercadoKatey,2,0.0,0.0,2.762642008537467e-06,0.0,0.0,0.0002631721038257948,0.0,0.0,4
_raftel_,2,0.0,0.0,0.0,0.0,0.0,0.00027379877735797217,0.0,0.0,4
ykk_yjm,2,0.0,0.0,0.0,0.0,0.0,0.0002713068130041116,0.0,0.0,4
erinn_mcn,1,0.0,0.0,0.0,0.0,0.0,0.00015958687967894958,0.0,0.0,4
makristinajoie,1,0.0,0.0,0.0,0.0,0.0,0.00022335259792421504,0.0,0.0,4
forever_Asmile,1,0.0,0.0,0.0,0.0,0.0,0.00016429015989994868,0.0,0.0,4
