User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
Wily1,12,0.0,0.0,-1.5749957841776917e-05,0.0,0.0,0.0,0.0,0.0,17
mrzordan1,5,0.0,0.0,-1.4854484476595688e-05,0.0,0.0,0.0,0.0,0.0,17
bkealey,5,0.0,0.0,-1.4272900375236478e-05,0.0,0.0,0.0,0.0,0.0,17
JakeMcClory,3,0.0,0.0,-1.527555042164927e-05,0.0,0.0,0.0,0.0,0.0,17
sdjyx,3,0.0,0.0,-1.5123002080613462e-05,0.0,0.0,0.0,0.0,0.0,17
Nikunj83,3,3.723750943008871e-08,0.0,-1.3448829232062088e-05,0.0,0.0,0.0,0.0,0.0,17
rolantanagras,3,0.0,0.0,-1.5333296111268806e-05,0.0,0.0,0.0,0.0,0.0,17
dannhamizan,3,0.0,0.0,-1.61059845216091e-05,0.0,0.0,0.0,0.0,0.0,17
psbacademy,2,0.0,0.0,-1.5738971463737315e-05,0.0,0.0,0.0,0.0,0.0,17
mr_tech1,2,0.0,0.0,-1.4420384375019241e-05,0.0,0.0,0.0,0.0,0.0,17
eqalrius,2,0.0,0.0,-1.4852609440219876e-05,0.0,0.0,0.0,0.0,0.0,17
paboleen,2,0.0,0.0,-1.584393885752391e-05,0.0,0.0,0.0,0.0,0.0,17
tatiklem01,2,0.0,0.0,-1.613070582233468e-05,0.0,0.0,0.0,0.0,0.0,17
WhoSia,2,0.0,0.0,-1.4792538021788367e-05,0.0,0.0,0.0,0.0,0.0,17
mmikeemike,2,0.0,0.0,-1.6195330964525713e-05,0.0,0.0,0.0,0.0,0.0,17
