User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
rathpinaki,11,0.0,0.0,-0.00020983841278895965,0.0,0.0,0.0,0.0,0.0,10
ClarityFADE,9,0.0,0.0,-0.0002795929304927993,0.0,0.0,0.0,0.0,0.0,10
Syfq_H,8,0.0,0.0,-0.0002480644179487061,0.0,0.0,0.0,0.0,0.0,10
i_CLLYI,7,0.0,0.0,-0.00021990056336133434,0.0,0.0,0.0,0.0,0.0,10
matt_b_r,6,0.0,0.0,-0.0002691280130142503,0.0,0.0,0.0,0.0,0.0,10
giokalaw,6,0.0,0.0,-0.00027859977579555717,0.0,7.309553878942455e-06,0.0,0.0,0.0,10
sugacandy_,5,0.0,0.0,-0.0002271164682148791,0.0,0.0,0.0,0.0,0.0,10
riza_bartolome,5,0.0,0.0,-0.00020314971235830162,0.0,0.0,0.0,0.0,0.0,10
mmfsolutionsg,5,1.1518907907704059e-06,0.0,-0.00022936877111812563,0.0,0.0,0.0,0.0,0.0,10
ajayvidyasagar,5,4.08884782761594e-06,0.0,-0.0002445463312017972,0.0,0.0,0.0,0.0,0.0,10
maizan_dasimin,5,0.0,0.0,-0.0002707268290290482,0.0,0.0,0.0,0.0,0.0,10
luthdarwisy,4,0.0,0.0,-0.00022737682088673906,0.0,0.0,0.0,0.0,0.0,10
coolsails,4,0.0,0.0,-0.00021261521033798524,0.0,0.0,0.0,0.0,0.0,10
Uricacheng,4,0.0,0.0,-0.00026483497646107777,0.0,0.0,0.0,0.0,0.0,10
jennnabella,4,6.488876533444175e-07,0.0,-0.00026389300492700495,0.0,0.0,0.0,0.0,0.0,10
