User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
infinite_jo,5,0.0,0.0,6.554334618710089e-07,0.0,0.0,0.0,0.0,0.0,23
zafarrahmani12,3,0.0,0.0,6.591004355094354e-07,0.0,0.0,0.0,0.0,0.0,23
Qew_15,3,0.0,0.0,6.399109233569879e-07,0.0,0.0,0.0,0.0,0.0,23
sunpetsaquarium,2,0.0,0.0,6.72934054537511e-07,0.0,0.0,0.0,0.0,0.0,23
kirbydingwall,2,0.0,0.0,6.404403062893387e-07,0.0,0.0,0.0,0.0,0.0,23
dipendu_,1,0.0,0.0,6.686777482113051e-07,0.0,0.0,0.0,0.0,0.0,23
thevaliant46,1,0.0,0.0,6.57171409941164e-07,0.0,0.0,0.0,0.0,0.0,23
sureshATwork,1,0.0,0.0,6.420568001699965e-07,0.0,0.0,0.0,0.0,0.0,23
sapio_official,1,0.0,0.0,6.611862541967928e-07,0.0,0.0,0.0,0.0,0.0,23
rmantha2,1,0.0,0.0,6.466149892524817e-07,0.0,0.0,0.0,0.0,0.0,23
nrlxfitri,1,0.0,0.0,6.126554651733414e-07,0.0,0.0,0.0,0.0,0.0,23
kellylatimer,1,0.0,0.0,6.522418504425882e-07,0.0,0.0,0.0,0.0,0.0,23
jpsedaghat,1,0.0,0.0,6.502539289385775e-07,0.0,0.0,0.0,0.0,0.0,23
Ash_Pujari,1,0.0,0.0,6.600351382687436e-07,0.0,0.0,0.0,0.0,0.0,23
BrendGibturn,1,0.0,0.0,6.496795711618252e-07,0.0,0.0,0.0,0.0,0.0,23
