User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
mizobopizo,17,0.0,0.0,1.5041474370680136e-05,0.0,0.0,0.0,0.0,0.0,8
Hojialiang,15,0.0,0.0,4.54952030876146e-06,0.0,0.0,0.0,0.0,0.0,8
RYANNCSY,14,0.0,0.0,1.004344179045553e-05,0.0,0.0,0.0,0.0,0.0,8
indahaimee,13,0.0,0.0,1.1740482790872957e-05,0.0,0.0,0.0,0.0,0.0,8
SinLaaah,13,0.0,0.0,4.166912541172375e-06,0.0,0.0,0.0,0.0,0.0,8
ZhenHongC,11,0.0,0.0,1.8239791582255415e-05,0.0,0.0,0.0,0.0,0.0,8
unifiedinbox,11,0.0,0.0,1.6082997391582173e-05,0.0,0.0,0.0,0.0,0.0,8
soccerz123,11,0.0,0.0,6.071521824255707e-06,0.0,0.0,0.0,0.0,0.0,8
N0MIS3RY,11,0.0,0.0,9.818254958721319e-06,0.0,0.0,0.0,0.0,0.0,8
BookOfManu,10,0.0,0.0,1.6779189022315185e-05,0.0,0.0,0.0,0.0,0.0,8
infidelpreacher,10,0.0,0.0,1.6157107146605676e-05,0.0,0.0,0.0,0.0,0.0,8
NaddyKK,10,0.0,0.0,9.863051357440948e-06,0.0,0.0,0.0,0.0,0.0,8
Christinamcg27,9,0.0,0.0,1.900555865704534e-05,0.0,0.0,0.0,0.0,0.0,8
Sydneyyomg,9,0.0,0.0,1.3368959167968226e-05,0.0,0.0,0.0,0.0,0.0,8
aniisxo,9,0.0,0.0,1.3506825147871908e-05,0.0,0.0,0.0,0.0,0.0,8
