User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
NyanAliceNyan,6,0.0,0.0,-1.8352806264501065e-05,0.0,0.0,0.0,0.0,0.0,16
MiszHijabz,5,0.0,0.0,-1.851534251102591e-05,0.0,0.0,0.0,0.0,0.0,16
zhiren_,4,1.8654086851719247e-07,0.0,-2.0133485438747642e-05,0.0,0.0,0.0,0.0,0.0,16
_Rozairi_,4,0.0,0.0,-2.0536648323659228e-05,0.0,0.0,0.0,0.0,0.0,16
MeLi_Dudud,3,0.0,0.0,-1.8994658051654507e-05,0.0,0.0,0.0,0.0,0.0,16
AsriPirate,3,0.0,0.0,-1.9588119533522006e-05,0.0,0.0,0.0,0.0,0.0,16
OfficiallyShah,2,0.0,0.0,-1.8800809778491643e-05,0.0,0.0,0.0,0.0,0.0,16
Samantha_ILY,2,0.0,0.0,-2.014954541840811e-05,0.0,0.0,0.0,0.0,0.0,16
thepwt,2,0.0,0.0,-1.846662174913925e-05,0.0,0.0,0.0,0.0,0.0,16
mrzknrns,2,0.0,0.0,-1.870508054654252e-05,0.0,0.0,0.0,0.0,0.0,16
amyfegan,2,0.0,0.0,-1.938079100786784e-05,0.0,0.0,0.0,0.0,0.0,16
KauJunHeng,1,0.0,0.0,-1.9502172860039075e-05,0.0,0.0,0.0,0.0,0.0,16
commentxiao,1,0.0,0.0,-1.9478992853718147e-05,0.0,0.0,0.0,0.0,0.0,16
wyekitkat,1,0.0,0.0,-1.9717806315548825e-05,0.0,0.0,0.0,0.0,0.0,16
mushsinclair,1,0.0,0.0,-1.9174931228560595e-05,0.0,0.0,0.0,0.0,0.0,16
