User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
yyourdesire,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
emilygohjh_,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
lemon_fcuker_,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
neungbionic,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
alessoINC,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
eileenangggg,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
AnIsDeadAndGone,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
lowckkk,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
nehpyh,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
_DCWJ_,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
iamnotstalkquer,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
sacyxx,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
hhxnnaa,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
_pe_ri,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
Ivancyl_,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
