User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
NaDo1201,5,0.0,0.0,1.1407583615799687e-07,0.0,0.0,0.0,0.0,0.0,20
belon1986,3,0.0,0.0,1.149167830072756e-07,0.0,0.0,0.0,0.0,0.0,20
AjiepLaa,2,0.0,0.0,9.678663150217623e-08,0.0,0.0,0.0,0.0,0.0,20
shazology,2,0.0,0.0,8.290221447450017e-08,0.0,0.0,0.0,0.0,0.0,20
iamkokwei,2,0.0,0.0,8.865108767982966e-08,0.0,0.0,0.0,0.0,0.0,20
BrendiehBear,2,0.0,0.0,1.290829531886399e-07,0.0,0.0,0.0,0.0,0.0,20
ccarrillouk,2,0.0,0.0,9.403609807476939e-08,0.0,0.0,0.0,0.0,0.0,20
raymondlimarno,2,0.0,0.0,1.2787949919274464e-07,0.0,0.0,0.0,0.0,0.0,20
bryantwalkerhot,2,0.0,0.0,9.615418691551326e-08,0.0,0.0,0.0,0.0,0.0,20
SpikyKevin,2,0.0,0.0,1.0201425571430878e-07,0.0,0.0,0.0,0.0,0.0,20
KarthickJoki,2,0.0,0.0,9.298429649209153e-08,0.0,0.0,0.0,0.0,0.0,20
wafflenessa,2,0.0,0.0,1.396141044186367e-07,0.0,0.0,0.0,0.0,0.0,20
CindyOh97,2,0.0,0.0,1.4316823502367153e-07,0.0,0.0,0.0,0.0,0.0,20
misterdarrenY,2,0.0,0.0,1.250332509770184e-07,0.0,0.0,0.0,0.0,0.0,20
leah_cb,1,0.0,0.0,1.2471574318089562e-07,0.0,0.0,0.0,0.0,0.0,20
