User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
EmbEspSingapur,15,0.0,0.0,3.348441652840227e-05,0.0,0.0,0.0,0.0,0.0,6
Melvinoyx,9,0.0,0.0,3.142303577580603e-05,0.0,0.0,0.0,0.0,0.0,6
reneeedg,8,0.0,0.0,3.190160253977297e-05,0.0,0.0,0.0,0.0,0.0,6
tellemnl,8,0.0,0.0,3.168875029693611e-05,0.0,0.0,0.0,0.0,0.0,6
grindcoffee2011,8,0.0,0.0,3.360248097066817e-05,0.0,0.0,0.0,0.0,0.0,6
HeringChristoph,7,0.0,0.0,3.2107947035319004e-05,0.0,0.0,0.0,0.0,0.0,6
imMichelleChong,7,0.0,0.0,3.3378486051952665e-05,0.0,0.0,0.0,0.0,0.0,6
trysutrisnofoo,7,0.0,0.0,3.333545860281112e-05,0.0,0.0,0.0,0.0,0.0,6
n8teWind,7,0.0,0.0,3.271157926656399e-05,0.0,0.0,0.0,0.0,0.0,6
jitengajaria,6,0.0,0.0,3.3013899209172865e-05,0.0,0.0,0.0,0.0,0.0,6
iamALEXHSIUNG,5,0.0,0.0,3.2012422325829714e-05,0.0,0.0,0.0,0.0,0.0,6
muzboi,5,0.0,0.0,3.292704567148947e-05,0.0,0.0,0.0,0.0,0.0,6
TeamRazer,5,0.0,0.0,3.121258636568353e-05,0.0,0.0,0.0,0.0,0.0,6
Perignonic,5,0.0,0.0,3.1931772303468074e-05,0.0,0.0,0.0,0.0,0.0,6
NotJoshuaReally,5,0.0,0.0,3.271349217646571e-05,0.0,0.0,0.0,0.0,0.0,6
