User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
CurtClark,19,0.0,0.0,2.3264992202627867e-06,0.0,0.0,0.0,0.0,0.0,18
sliderdimension,10,0.0,0.0,2.883936203017685e-06,0.0,0.0,0.0,0.0,0.0,18
TaintedLipz,8,0.0,0.0,2.5642538714906923e-06,0.0,0.0,0.0,0.0,0.0,18
mariannasisland,7,0.0,0.0,1.332808155853417e-06,0.0,0.0,0.0,0.0,0.0,18
_fir3rosesxx,7,0.0,0.0,9.700042679183723e-07,0.0,0.0,0.0,0.0,0.0,18
matt_food,6,0.0,0.0,1.6621410205345194e-06,0.0,0.0,0.0,0.0,0.0,18
TCB_GP,6,0.0,0.0,9.894874162285529e-07,0.0,0.0,0.0,0.0,0.0,18
carerol,6,0.0,0.0,1.7768896834900459e-06,0.0,0.0,0.0,0.0,0.0,18
ohitszhiming,6,0.0,0.0,1.8671937253120784e-06,0.0,0.0,0.0,0.0,0.0,18
clearysgp,6,0.0,0.0,1.3059283184028826e-06,0.0,0.0,0.0,0.0,0.0,18
xwreckofthedayx,5,0.0,0.0,1.3762010100422607e-06,0.0,0.0,0.0,0.0,0.0,18
AngiLindsa007,5,0.0,0.0,3.1992027338092988e-06,0.0,0.0,0.0,0.0,0.0,18
msyanizam,5,0.0,0.0,2.3319266924680585e-06,0.0,0.0,0.0,0.0,0.0,18
ymglp666,5,0.0,0.0,9.745827824890058e-07,0.0,0.0,0.0,0.0,0.0,18
gr000000vy,5,0.0,0.0,1.949342022119359e-06,0.0,0.0,0.0,0.0,0.0,18
