User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
sylvani91,8,0.0,0.0,4.675247189379624e-07,0.0,0.0,0.0,0.0,0.0,24
KOJIONISHI,6,0.0,0.0,5.505727767769504e-07,0.0,0.0,0.0,0.0,0.0,24
msmsaifullah,6,0.0,0.0,5.759784228758861e-07,0.0,0.0,0.0,0.0,0.0,24
saforingnail,4,0.0,0.0,3.9207901260844824e-07,0.0,0.0,0.0,0.0,0.0,24
MsGenGeorge,4,0.0,0.0,4.499913923335364e-07,0.0,0.0,0.0,0.0,0.0,24
MiranMohr,4,0.0,0.0,5.973871422829335e-07,0.0,0.0,0.0,0.0,0.0,24
dxvxkxrxn,4,0.0,0.0,3.247312926440162e-07,0.0,0.0,0.0,0.0,0.0,24
snkdoor,3,1.646589855697161e-08,0.0,3.072771396910432e-07,0.0,0.0,0.0,0.0,0.0,24
EDronneauprof,3,0.0,0.0,2.5057869600087466e-07,0.0,0.0,0.0,0.0,0.0,24
teyazainuddin,3,0.0,0.0,5.355987189089972e-07,0.0,0.0,0.0,0.0,0.0,24
AlwynIsPat,3,0.0,0.0,4.832948778102875e-07,0.0,0.0,0.0,0.0,0.0,24
vvkxnanaloh,3,0.0,0.0,5.387813364513955e-07,0.0,0.0,0.0,0.0,0.0,24
beastcuiit,3,0.0,0.0,4.214247416798121e-07,0.0,0.0,0.0,0.0,0.0,24
izanvanst,3,0.0,0.0,4.883544276176718e-07,0.0,0.0,0.0,0.0,0.0,24
LWWren,2,0.0,0.0,3.187321175047613e-07,0.0,0.0,0.0,0.0,0.0,24
