User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
AndreaBettoni_,6,0.0,0.0,8.265460923873309e-07,0.0,0.0,0.0,0.0,0.0,19
TheSenkiv,4,0.0,0.0,7.594412831330814e-07,0.0,0.0,0.0,0.0,0.0,19
yangzhenghan88,2,0.0,0.0,8.437880991096812e-07,0.0,0.0,0.0,0.0,0.0,19
Doris_LHM,2,0.0,0.0,7.333078430213333e-07,0.0,0.0,0.0,0.0,0.0,19
thejanicewee,2,0.0,0.0,7.304377364213985e-07,0.0,0.0,0.0,0.0,0.0,19
OkayxEmi,2,0.0,0.0,8.759226909504854e-07,0.0,0.0,0.0,0.0,0.0,19
moleinthethumb,2,0.0,0.0,8.735053764225115e-07,0.0,0.0,0.0,0.0,0.0,19
qrisyh,2,0.0,0.0,7.840980824230053e-07,0.0,0.0,0.0,0.0,0.0,19
SalesforceAmy,2,0.0,0.0,8.813795196270229e-07,0.0,0.0,0.0,0.0,0.0,19
krystlnn21,1,0.0,0.0,7.946824896201341e-07,0.0,0.0,0.0,0.0,0.0,19
ibigbug,1,0.0,0.0,7.525692324345836e-07,0.0,0.0,0.0,0.0,0.0,19
iamVishnu_H,1,0.0,0.0,8.837208013813864e-07,0.0,0.0,0.0,0.0,0.0,19
hitominjs,1,0.0,0.0,7.434180264511601e-07,0.0,0.0,0.0,0.0,0.0,19
ersan_pamungkas,1,0.0,0.0,7.391139236707463e-07,0.0,0.0,0.0,0.0,0.0,19
gloriasohss,1,0.0,0.0,8.545313328320309e-07,0.0,0.0,0.0,0.0,0.0,19
