User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
ryejuan,8,1.2824375061828025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
starryjan_,3,1.6394593869520636e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
zeligdhilee,2,6.404776168347075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
hilmi_selvi,2,1.7539921558060515e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
anergybuilding,2,1.5957960982266872e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
paulbabington,2,1.7682775372322506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
sandra_tamaela,2,4.280535368757939e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
Hilmi_Izuddin,2,1.4291440055410312e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
PuL_IWF,2,9.205089884192604e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
ChickanoBrand,2,1.5324344164347214e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
stephan_horvath,2,1.2150546448973766e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
victoriawongwj,2,1.3120632317816337e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
muhdxnazrul,1,1.223368148329778e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
fityatulaula,1,1.774553505143298e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
yzfr1kong,1,1.0807153816161651e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
