User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
Lihiinnnn,53,0.0,0.0,0.0003484661463668355,0.0,0.0,0.0,0.0,0.0,5
ivanethanloh,24,0.0,0.0,0.0003109528840438248,0.0,0.0,0.0,0.0,0.0,5
hnnhsoup,22,0.0,0.0,0.000359347645031426,0.0,0.0,0.0,0.0,0.0,5
ImposterouSoh,20,0.0,0.0,0.00031391351026555613,0.0,0.0,0.0,0.0,0.0,5
AnAngrySnatch,20,3.464980560348966e-06,0.0,0.0001961116055041328,0.0,0.0,7.65595005746664e-06,0.0,0.0,5
Immanuel8Joshua,19,1.2626069333874575e-05,0.0,6.750605915994769e-05,0.0,0.0,0.0,0.0,0.0,5
HemanChong,19,0.0,7.227770161108881e-07,0.00015893617967016824,0.0,0.0,0.0,0.0,0.0,5
sholehin_J,19,0.0,0.0,5.7511039050402965e-05,0.0,0.0,0.0,0.0,0.0,5
ritzsinha,18,4.502321565056443e-06,0.0,0.00024687457711425944,0.0,0.0,0.0,0.0,0.0,5
AeonWcs,18,0.0,0.0,0.00033539202685038254,0.0,0.0,0.0,0.0,0.0,5
rajaramansg,17,0.0,0.0,0.000245165701448716,0.0,0.0,1.6658084809602834e-05,0.0,0.0,5
daimanuel,17,0.0,0.0,4.1798640640007015e-05,0.0,0.0,0.0,0.0,0.0,5
roadblog101,17,3.6788897764976685e-06,0.0,0.00032669660651319895,0.0,0.0,0.0,0.0,0.0,5
AshleyOngz,16,4.768385760513926e-07,0.0,0.00019263931249976045,0.0,0.0,0.0,0.0,0.0,5
yumikabelle,16,0.0,0.0,9.216213295260573e-05,0.0,0.0,0.0,0.0,0.0,5
