User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
AnaSuki39,5,0.0,0.0,-8.210599698924066e-05,0.0,0.0,0.0,0.0,0.0,12
KomalaVGC,5,0.0,0.0,-7.913508484764363e-05,0.0,0.0,0.0,0.0,0.0,12
swastika_anggi,3,0.0,0.0,-8.301978393159256e-05,0.0,0.0,0.0,0.0,0.0,12
Alynfreekiee,2,0.0,0.0,-7.627434965547831e-05,0.0,0.0,0.0,0.0,0.0,12
syaxxxx,2,6.786093132350434e-09,0.0,-7.898852152735e-05,0.0,0.0,0.0,0.0,0.0,12
Hxzxqhx,2,0.0,0.0,-8.082781070410117e-05,0.0,0.0,0.0,0.0,0.0,12
Lawson297,2,0.0,0.0,-7.870727143830536e-05,0.0,0.0,0.0,0.0,0.0,12
hengiekaren,2,9.227434405042034e-08,0.0,-8.300182366594837e-05,0.0,0.0,0.0,0.0,0.0,12
annabellexian,2,0.0,0.0,-7.854026356902513e-05,0.0,0.0,0.0,0.0,0.0,12
2x2x2is8,1,0.0,0.0,-8.283059264723907e-05,0.0,0.0,0.0,0.0,0.0,12
dxzakir,1,0.0,0.0,-7.986789501787779e-05,0.0,0.0,0.0,0.0,0.0,12
xtigerbunnyx,1,0.0,0.0,-8.190412327717163e-05,0.0,0.0,0.0,0.0,0.0,12
rapomma2,1,0.0,0.0,-8.048017487496884e-05,0.0,0.0,0.0,0.0,0.0,12
neilsmith70,1,0.0,0.0,-7.840083976068733e-05,0.0,0.0,0.0,0.0,0.0,12
lykafultz,1,0.0,0.0,-8.253701523991876e-05,0.0,0.0,0.0,0.0,0.0,12
