User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
azhar_Raz,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011005443849121607,2
Dophdolphin,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011466860384573949,2
PujanggaMalam,6,0.0,0.0,4.1790967615140944e-05,0.0,0.0,0.0,4.7722635889922835e-06,0.0010040116721454174,2
akash_anandh,5,0.0,0.0,3.3425132416702975e-05,0.0,0.0,0.0,0.0,0.001159346453384095,2
rizsunawan,5,2.931523417423234e-07,0.0,1.2633950250374451e-05,0.0,0.0,0.0,0.0,0.001225291538723987,2
AizatAzmir,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011309818503760145,2
meganyuen,4,0.0,0.0,5.0576676561690506e-05,0.0,0.0,0.0,0.0,0.0011028132930116516,2
juliusTomas,4,0.0,0.0,1.914441254861189e-05,0.0,0.0,0.0,0.0,0.0010873476223330423,2
Peakout2,4,0.0,0.0,1.6610826748290672e-05,0.0,0.0,0.0,0.0,0.0011143861682713122,2
Perrytt,4,0.0,0.0,5.829090203700552e-06,0.0,0.0,0.0,0.0,0.0011143861682713122,2
ajxl_,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011303882759726306,2
syafiqsharil,3,0.0,0.0,2.9611893642758922e-05,0.0,0.0,0.0,0.0,0.0010642868077771054,2
trentinnes,3,1.303479765893502e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0008819978525255445,2
marktigno,3,0.0,0.0,3.928484060297221e-05,0.0,0.0,0.0,0.0,0.001118982971112208,2
ZiggysFollies,2,6.307170170018989e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001150110333874798,2
