User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
deideixx_,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006769133192082428,3
itisshanhere_,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005871410515448332,3
leongkhaiweng,16,0.0,0.0,3.965467965712152e-05,0.0,0.0,0.0,0.0,0.0006867779413501509,3
ushinuco,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007260990367849483,3
melissatsx,13,0.0,0.0,0.0,0.0,0.0,0.0,2.9379315167617134e-05,0.0008136378131718905,3
JWNY,12,0.0,0.0,4.4018230567729046e-06,0.0,0.0,0.0,0.0,0.0006486949942093182,3
tepoyG,8,1.1248956292570708e-06,0.0,3.718192292022079e-05,0.0,0.0,0.0,0.0,0.00048649636713530154,3
daryjenne,8,0.0,0.0,2.4249220664928185e-05,0.0,0.0,0.0,0.0,0.0007503131407892676,3
evelynxwq,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007503131407892676,3
nickolaslgl,6,0.0,0.0,1.373388475130971e-05,0.0,0.0,0.0,0.0,0.0008312835092420699,3
CloudRunner_Rex,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008079214308468227,3
_andreagbt,6,6.905686950905841e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0007913879222093838,3
orchard3sixty,5,0.0,0.0,2.7460570103669447e-05,0.0,0.0,0.0,0.0,0.0007109179123276853,3
STsportsdesk,5,0.0,0.0,2.515409375761864e-05,0.0,0.0,0.0,0.0,0.0006622325406804727,3
Redblack_Rider,5,0.0,0.0,8.134582756820219e-07,0.0,0.0,0.0,0.0,0.0005734001673942981,3
