User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
shaunymacattack,62,2.7379851972117297e-06,0.005540089219368602,0.004017950037438137,0.0,0.0004174915141594744,0.0,9.020467183461624e-05,0.08079892322733417,0
rose3ina,59,2.522155848719801e-06,0.0030225368952328693,0.004844329079528037,0.0,0.0,0.0002677690616386697,0.002746191133070285,0.08143203057883686,0
Lucanesque,53,1.0802708090739131e-07,0.0017977313552594218,0.00017656400045399265,0.0,0.0,0.0,-0.0029702988889792428,0.08505794057075691,0
ihuijun_,45,2.454096967119152e-05,7.800523234398281e-05,-0.00022367717688236992,0.0,0.0,0.0,0.0,0.07713713324555192,0
Priyalingamm,42,0.0,2.7588757180068767e-05,0.0014685152275444127,0.0,0.0,0.0,-0.000586320608637388,0.07160665922927469,0
ImanIllusive,29,0.0,0.0,0.001479749585651173,0.0,0.0,0.0,0.0,0.0720001413162581,0
Hitarth1987,27,5.06280782433513e-05,0.0004026774920965012,-0.0008767544012023871,0.0,0.0002577770232347962,0.0,-9.534602925364765e-05,0.07713713324555192,0
_lee9395,27,2.2124080655175268e-05,0.0,0.002000772796972465,0.0,0.0,0.0,0.0,0.07802191472434646,0
Hasterletchmi,25,-0.002389804959406327,0.0,0.0014737485882438733,0.0,-0.0005868226518959528,0.0,-0.0026764343923533483,0.08256441777617439,0
BooksActually,22,0.0,0.0,1.4178761984037625e-05,0.0,3.1020508183761156e-05,0.0,0.0,0.07713713324555192,0
a444nn,19,-0.0019415748990010246,0.0,0.0023550769484898893,0.0,0.0,0.0,0.0,0.07285812557810385,0
sezairi,18,0.0,0.0,0.000625188131946634,0.0,0.0,7.032462262265213e-06,0.0,0.07713713324555192,0
weihan_chan,16,0.0,0.0,5.56534115563896e-05,0.0,0.0,0.0,0.0,0.07737768339978326,0
ReizePrimus,15,-0.001914061382760597,0.0,0.0009607836422182508,0.0,0.0,0.0,0.0,0.07713713324555192,0
Xuan__n,14,0.0,0.0,0.0,0.0040372618317446604,0.0,0.0,0.0,0.07781404656476015,0
