User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
sheepxmeep,7,0.0,0.0,-9.407865096722652e-05,0.0,0.0,0.0,0.0,0.0,13
TheRedzwanAman,7,0.0,0.0,-8.958161206954787e-05,0.0,0.0,0.0,0.0,0.0,13
MeaganWinthrop,5,0.0,0.0,-8.91563469844548e-05,0.0,0.0,0.0,0.0,0.0,13
AdamFlinter,4,0.0,0.0,-8.935117498590015e-05,0.0,0.0,0.0,0.0,0.0,13
AdrianLeeSA,4,0.0,0.0,-9.340301846043243e-05,0.0,0.0,0.0,0.0,0.0,13
_nsbmn,4,0.0,0.0,-9.468232872521316e-05,0.0,0.0,0.0,0.0,0.0,13
scarletscandals,4,0.0,0.0,-9.915267363772804e-05,0.0,0.0,0.0,0.0,0.0,13
senatrstanford,4,0.0,0.0,-9.375258180055273e-05,0.0,0.0,0.0,0.0,0.0,13
MichaelPeterAnt,3,0.0,0.0,-8.907488907310939e-05,0.0,0.0,0.0,0.0,0.0,13
Naaawiii_,3,0.0,0.0,-9.439460383478636e-05,0.0,0.0,0.0,0.0,0.0,13
kyutteng,3,0.0,0.0,-9.254723868514014e-05,0.0,0.0,0.0,0.0,0.0,13
fabomania,3,0.0,0.0,-9.359661142247109e-05,0.0,0.0,0.0,0.0,0.0,13
crabstick88,3,0.0,0.0,-9.48826208356346e-05,0.0,0.0,0.0,0.0,0.0,13
ployapha_j,2,0.0,0.0,-9.230008749217684e-05,0.0,0.0,0.0,0.0,0.0,13
gweniise,2,0.0,0.0,-0.00010063694156142621,0.0,0.0,0.0,0.0,0.0,13
