User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
SaphsFromWhere,30,0.0,0.0,7.394007407371937e-07,0.0,0.0,0.0,0.0,9.173346860695219e-05,9
Alicegwt,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.681808910588487e-05,9
kiddyrei,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999986433387982e-05,9
liarlovelies,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.681808910588487e-05,9
damnitdc,7,0.0,0.0,3.8650357399411286e-06,0.0,0.0,0.0,0.0,8.046044437938344e-05,9
xxQNYW,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.239115633725395e-05,9
nrmsyhdh,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333209025758913e-05,9
eugeniaxyxyx,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612022818560749e-05,9
DuckSimpsons,4,0.0,0.0,2.165419946061226e-06,0.0,0.0,0.0,4.27670025773377e-06,9.452327906148101e-05,9
boydchan,4,0.0,0.0,7.199998746267977e-06,0.0,0.0,0.0,0.0,9.269526940550232e-05,9
KenKong0109,3,0.0,0.0,2.398210739773194e-06,0.0,0.0,0.0,0.0,8.446734566670051e-05,9
iStraven,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.319908079318134e-05,9
mamatjee,2,0.0,0.0,2.5833414635197518e-06,0.0,0.0,0.0,0.0,8.681808910588487e-05,9
aquaculturesg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.976131650063112e-05,9
ReddersGolf,2,0.0,0.0,2.2321400058762314e-06,0.0,0.0,0.0,0.0,9.821717112169056e-05,9
